epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.21791,3.07681,4.37706,2.11468,0.00677,0.36038,0.05107,0.01622,2.32068,3.92496,1.76473,0.00011817,0.00011817,0.00011817
2,13.0653,2.06742,3.86542,1.54147,0.01291,0.5733,0.15177,0.05048,1.71596,3.71919,1.38433,0.00024057,0.00024057,0.00024057
3,18.1906,1.72862,3.00676,1.35574,0.58703,0.291,0.28224,0.12419,1.56668,3.37479,1.27479,0.000357931,0.000357931,0.000357931
4,23.0325,1.69627,2.24759,1.32415,0.88208,0.22431,0.54605,0.26181,1.64963,2.82205,1.33393,0.000470253,0.000470253,0.000470253
5,27.9942,1.66125,1.88732,1.27554,0.88003,0.3662,0.71006,0.3535,1.56497,2.41823,1.29475,0.000577535,0.000577535,0.000577535
6,32.7783,1.61166,1.73321,1.24788,0.78023,0.69841,0.79357,0.4086,1.52001,1.7298,1.33928,0.000679777,0.000679777,0.000679777
7,37.7311,1.54388,1.5232,1.22081,0.8179,0.76395,0.86672,0.43549,1.56751,1.5323,1.33474,0.00077698,0.00077698,0.00077698
8,42.5077,1.56489,1.38349,1.22273,0.84585,0.83434,0.87188,0.42393,1.62575,1.26412,1.33928,0.000783013,0.000783013,0.000783013
9,47.2269,1.52054,1.31499,1.21671,0.76606,0.834,0.89099,0.48912,1.4205,1.22899,1.2942,0.000765014,0.000765014,0.000765014
10,52.2395,1.46689,1.31326,1.22123,0.90946,0.8952,0.93034,0.50542,1.45869,1.05268,1.3039,0.000747016,0.000747016,0.000747016
11,57.1037,1.38598,1.21969,1.17877,0.8506,0.91044,0.94032,0.52182,1.42799,1.11311,1.32119,0.000729018,0.000729018,0.000729018
12,62.0709,1.33785,1.13326,1.1562,0.90617,0.93058,0.95881,0.56828,1.31372,0.97868,1.24565,0.00071102,0.00071102,0.00071102
13,66.7441,1.37731,1.12606,1.15926,0.90907,0.93086,0.96903,0.55255,1.41017,0.95732,1.27707,0.000693022,0.000693022,0.000693022
14,71.4904,1.34938,1.09487,1.18222,0.90349,0.92575,0.9693,0.59825,1.28943,0.99787,1.2046,0.000675023,0.000675023,0.000675023
15,76.285,1.29507,1.07331,1.14005,0.86097,0.90871,0.96596,0.60198,1.27103,1.02168,1.20804,0.000657025,0.000657025,0.000657025
16,81.0835,1.31233,1.03209,1.12779,0.95279,0.92927,0.97106,0.61277,1.27697,0.86112,1.18595,0.000639027,0.000639027,0.000639027
17,85.8292,1.2773,1.03014,1.11652,0.9364,0.96576,0.97507,0.6053,1.26508,0.81593,1.16971,0.000621029,0.000621029,0.000621029
18,90.6459,1.27965,0.99815,1.14513,0.9258,0.9513,0.9728,0.61679,1.21365,0.82714,1.15953,0.000603031,0.000603031,0.000603031
19,95.3717,1.31292,0.99054,1.13522,0.92607,0.95642,0.97079,0.60494,1.24688,0.84023,1.16692,0.000585032,0.000585032,0.000585032
20,100.137,1.27025,0.96985,1.1115,0.9427,0.96296,0.97475,0.63246,1.20298,0.8097,1.13356,0.000567034,0.000567034,0.000567034
21,104.951,1.2562,0.95059,1.1261,0.9503,0.96066,0.97622,0.64668,1.16592,0.74735,1.13444,0.000549036,0.000549036,0.000549036
22,109.8,1.23496,0.93803,1.10895,0.94592,0.96628,0.982,0.6468,1.16047,0.75592,1.13111,0.000531038,0.000531038,0.000531038
23,114.626,1.21774,0.92479,1.07108,0.95296,0.97853,0.98178,0.65609,1.13913,0.74333,1.11588,0.00051304,0.00051304,0.00051304
24,119.523,1.21366,0.90834,1.08187,0.97914,0.9787,0.98553,0.66999,1.11779,0.7262,1.09781,0.000495041,0.000495041,0.000495041
25,124.367,1.21651,0.89376,1.07601,0.97843,0.97809,0.98526,0.66983,1.1094,0.71998,1.09303,0.000477043,0.000477043,0.000477043
26,129.152,1.23103,0.90187,1.07182,0.97391,0.98056,0.98345,0.66312,1.1267,0.71015,1.0948,0.000459045,0.000459045,0.000459045
27,133.971,1.18676,0.86956,1.07623,0.97962,0.97825,0.98301,0.66005,1.12756,0.71247,1.10593,0.000441047,0.000441047,0.000441047
28,138.804,1.18302,0.86821,1.06773,0.96197,0.9757,0.98188,0.66268,1.12278,0.70669,1.10138,0.000423049,0.000423049,0.000423049
29,143.63,1.18825,0.86297,1.07023,0.97302,0.97085,0.98388,0.66514,1.12969,0.71825,1.08556,0.00040505,0.00040505,0.00040505
30,148.437,1.18136,0.83686,1.04794,0.95908,0.98287,0.98343,0.67121,1.1085,0.69792,1.08172,0.000387052,0.000387052,0.000387052
31,153.214,1.18594,0.84721,1.05669,0.95553,0.98425,0.98459,0.67053,1.10409,0.68956,1.08167,0.000369054,0.000369054,0.000369054
32,157.99,1.19539,0.837,1.07383,0.97582,0.97876,0.98513,0.66922,1.0941,0.67003,1.06769,0.000351056,0.000351056,0.000351056
33,162.864,1.16987,0.82177,1.0499,0.96928,0.9803,0.98488,0.6666,1.09354,0.68615,1.05041,0.000333058,0.000333058,0.000333058
34,167.848,1.1709,0.82497,1.05953,0.964,0.97476,0.98262,0.67105,1.09895,0.67554,1.06286,0.000315059,0.000315059,0.000315059
35,172.684,1.18873,0.82263,1.06118,0.96969,0.97433,0.98252,0.67645,1.08217,0.66741,1.05798,0.000297061,0.000297061,0.000297061
36,177.515,1.16562,0.83109,1.07233,0.97914,0.97525,0.98452,0.67486,1.0798,0.66367,1.06211,0.000279063,0.000279063,0.000279063
37,182.442,1.17347,0.81867,1.05623,0.97547,0.9822,0.98574,0.68026,1.07301,0.66223,1.0513,0.000261065,0.000261065,0.000261065
38,187.404,1.16295,0.80135,1.04206,0.97406,0.97843,0.98411,0.67967,1.06767,0.66641,1.05295,0.000243067,0.000243067,0.000243067
39,192.288,1.11954,0.79691,1.0366,0.97575,0.97701,0.98362,0.67876,1.06992,0.66795,1.0461,0.000225068,0.000225068,0.000225068
40,197.06,1.14416,0.79967,1.04769,0.97974,0.98034,0.98502,0.68176,1.06879,0.64867,1.04484,0.00020707,0.00020707,0.00020707
41,201.722,1.16601,0.9671,1.09909,0.98328,0.9813,0.98533,0.67929,1.06848,0.65863,1.04648,0.000189072,0.000189072,0.000189072
42,206.418,1.15224,0.92678,1.07501,0.98119,0.98058,0.98457,0.67795,1.07782,0.6874,1.04234,0.000171074,0.000171074,0.000171074
43,211.066,1.14824,0.90802,1.06849,0.98149,0.97801,0.98599,0.68157,1.05978,0.66525,1.03367,0.000153076,0.000153076,0.000153076
44,215.769,1.12745,0.87968,1.05907,0.9806,0.97937,0.98649,0.68951,1.04106,0.6539,1.03695,0.000135077,0.000135077,0.000135077
45,220.401,1.13098,0.87227,1.06426,0.97901,0.98051,0.98609,0.69335,1.03431,0.65345,1.03574,0.000117079,0.000117079,0.000117079
46,225.172,1.10162,0.86425,1.06221,0.97638,0.98287,0.98598,0.69787,1.03691,0.64292,1.02651,9.9081e-05,9.9081e-05,9.9081e-05
47,229.794,1.13094,0.86925,1.05698,0.97709,0.98443,0.98591,0.69633,1.04236,0.64403,1.02545,8.10828e-05,8.10828e-05,8.10828e-05
48,234.587,1.09353,0.84659,1.04776,0.97444,0.98235,0.98572,0.6991,1.03969,0.63981,1.02475,6.30846e-05,6.30846e-05,6.30846e-05
49,239.173,1.10617,0.85199,1.05635,0.97618,0.9823,0.98579,0.70072,1.03006,0.63735,1.02491,4.50864e-05,4.50864e-05,4.50864e-05
50,243.931,1.09506,0.832,1.05226,0.97804,0.98272,0.98599,0.70085,1.02686,0.6351,1.02382,2.70882e-05,2.70882e-05,2.70882e-05
